College Code,College Name ,Location,District,College Type,College Course,GM,GMK,GMR
E001,Univesity of Visvesvaraya College of Engineering,K R Circle,Bangalore,Government ,ARTIFICIAL INTELLIGENCE AND DATA  SCIENCE,4628,9379,5784
E001,Univesity of Visvesvaraya College of Engineering,K R Circle,Bangalore,Government ,CIVIL ENGINEERING,45486,49643,56287
E001,Univesity of Visvesvaraya College of Engineering,K R Circle,Bangalore,Government ,COMPUTER SCIENCE AND ENGINEERING,3473,4239,5010
E001,Univesity of Visvesvaraya College of Engineering,K R Circle,Bangalore,Government ,ELECTRICAL & ELECTRONICS ENGINEERING,13703,22918,23214
E001,Univesity of Visvesvaraya College of Engineering,K R Circle,Bangalore,Government ,ELECTRONICS AND COMMUNICATION ENGINEERING,5418,11324,8782
E001,Univesity of Visvesvaraya College of Engineering,K R Circle,Bangalore,Government ,INFORMATION SCIENCE AND ENGINEERING,4625,10867,5867
E001,Univesity of Visvesvaraya College of Engineering,K R Circle,Bangalore,Government ,MECHANICAL ENGINEERING,32642,51206,49783
E002,Govt.S K S J T Institute of Engineering,"AMBEDKAR VEEDHI, K.R. CIRCLE",Bangalore,Government ,CIVIL ENGINEERING,72936,78142,79802
E002,Govt.S K S J T Institute of Engineering,"AMBEDKAR VEEDHI, K.R. CIRCLE",Bangalore,Government ,COMPUTER SCIENCE AND ENGINEERING,14802,16876,16749
E002,Govt.S K S J T Institute of Engineering,"AMBEDKAR VEEDHI, K.R. CIRCLE",Bangalore,Government ,ELECTRONICS AND COMMUNICATION ENGINEERING,23532,27171,27044
E002,Govt.S K S J T Institute of Engineering,"AMBEDKAR VEEDHI, K.R. CIRCLE",Bangalore,Government ,SILK TECHNOLOGY,92321,96402,--
E002,Govt.S K S J T Institute of Engineering,"AMBEDKAR VEEDHI, K.R. CIRCLE",Bangalore,Government ,TEXTILES TECHNOLOGY,124784,147439,155019
E003,B M S College of Engineering,BULL TEMPLE ROAD,Bangalore,Private ,CIVIL ENGINEERING,25511,43006,31746
E003,B M S College of Engineering,BULL TEMPLE ROAD,Bangalore,Private ,ELECTRICAL & ELECTRONICS ENGINEERING,5247,22134,12537
E003,B M S College of Engineering,BULL TEMPLE ROAD,Bangalore,Private ,ELECTRONICS AND COMMUNICATION ENGINEERING,1417,5426,4114
E003,B M S College of Engineering,BULL TEMPLE ROAD,Bangalore,Private ,INDUSTRIAL ENGINEERING & MANAGEMENT,24781,49486,39741
E003,B M S College of Engineering,BULL TEMPLE ROAD,Bangalore,Private ,MECHANICAL ENGINEERING,7440,50300,27046
E004,Dr. Ambedkar Institute of Technology,"NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI",Bangalore,Government ,CIVIL ENGINEERING,76735,92666,86822
E004,Dr. Ambedkar Institute of Technology,"NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI",Bangalore,Government ,COMPUTER SCIENCE AND ENGINEERING,8212,9609,8606
E004,Dr. Ambedkar Institute of Technology,"NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI",Bangalore,Government ,ELECTRICAL & ELECTRONICS ENGINEERING,27992,34569,33201
E004,Dr. Ambedkar Institute of Technology,"NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI",Bangalore,Government ,ELECTRONICS AND COMMUNICATION ENGINEERING,16042,18523,18675
E004,Dr. Ambedkar Institute of Technology,"NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI",Bangalore,Government ,ELECTRONICS AND INSTRUMENTATION ENGINEERING,37291,38021,54706
E004,Dr. Ambedkar Institute of Technology,"NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI",Bangalore,Government ,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,30617,48543,34367
E004,Dr. Ambedkar Institute of Technology,"NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI",Bangalore,Government ,INDUSTRIAL ENGINEERING & MANAGEMENT,63094,68188,71918
E004,Dr. Ambedkar Institute of Technology,"NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI",Bangalore,Government ,MECHANICAL ENGINEERING,67330,85311,86668
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,AERO SPACE ENGINEERING,1932,7639,5671
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,BIO-TECHNOLOGY,3963,--,10770
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,CHEMICAL ENGINEERING,5906,--,11745
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,CIVIL ENGINEERING,9539,--,21085
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,COMPUTER SCIENCE AND ENGG(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),429,2043,1123
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING,234,1249,705
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),508,2075,1498
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),367,--,1124
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,ELECTRICAL & ELECTRONICS ENGINEERING,1126,6573,4276
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,ELECTRONICS AND COMMUNICATION ENGG,573,3632,2115
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,ELECTRONICS AND TELECOMMUNICATiON ENGINEERING,987,11328,8055
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,INDUSTRIAL ENGINEERING & MANAGEMENT,8703,--,11845
E005,R. V. College of Engineering,"R.V. VIDYANIKETAN POST, MYSORE ROAD",Bangalore,Private ,MECHANICAL ENGINEERING,2900,14155,11969
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,AERO SPACE ENGINEERING,5172,10202,8821
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2063,--,3502
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,1910,--,3159
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,BIO-TECHNOLOGY,9246,32460,25457
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,CHEMICAL ENGINEERING,13325,32050,15658
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,CIVIL ENGINEERING,23457,24605,29763
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,COMPUTER SCIENCE AND ENGG(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),1694,3255,2852
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING,1100,3115,1941
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),1915,--,3631
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,ELECTRICAL & ELECTRONICS ENGINEERING,4787,--,9349
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,ELECTRONICS AND COMMUNICATION ENGINEERING,2567,5505,5820
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,ELECTRONICS AND INSTRUMENTATION ENGINEERING,5254,--,15821
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,ELECTRONICS AND TELECOMMUNICATiON ENGINEERING,3720,--,11242
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,INDUSTRIAL ENGINEERING & MANAGEMENT,25298,50175,34467
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,INFORMATION SCIENCE AND ENGINEERING,2473,5600,3907
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,MECHANICAL ENGINEERING,8718,23881,23993
E006,M S Ramaiah Institute of Technology,MSR NAGAR,Bangalore,Private ,MEDICAL ELECTRONICS ENGINEERING,17678,54865,37278
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,AERONAUTICAL ENGINEERING,8972,--,10381
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,4768,9228,5757
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,AUTOMOBILE ENGINEERING,35193,--,41212
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,BIO-TECHNOLOGY,14639,--,32860
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,CHEMICAL ENGINEERING,19683,--,33588
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,CIVIL ENGINEERING,54351,83024,74659
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,COMPUTER SCIENCE AND DESIGN,6465,15049,10534
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,COMPUTER SCIENCE AND ENGG(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),6111,12229,8225
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING,4080,7761,5815
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),5170,--,7326
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),4718,10092,6908
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,ELECTRICAL & ELECTRONICS ENGINEERING,15232,25337,25232
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,ELECTRONICS AND COMMUNICATION ENGG,6361,15290,10767
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,12293,25064,20446
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,INFORMATION SCIENCE AND ENGINEERING,5707,11000,6703
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,MECHANICAL ENGINEERING,25525,29913,55023
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,MEDICAL ELECTRONICS ENGINEERING,26109,--,45600
E007,Dayananda Sagar College of Engineering,SHAVIGE MALLESHWARA HILLS,Bangalore,Private ,ROBOTICS AND ARTIFICIAL INTELLIGENCE,7362,17357,9713
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,6577,10675,8919
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,CIVIL ENGINEERING,63170,73894,78671
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,COMPUTER SCIENCE AND ENGG(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),7481,15499,9789
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING,5036,8306,7330
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),6051,--,8596
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,ELECTRICAL & ELECTRONICS ENGINEERING,14851,--,26055
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,ELECTRONICS ENGINEERING(VLSI DESIGN &TECHNOLOGY),10833,24724,17572
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,ELECTRONICS AND COMMUNICATION ENGG,7585,16198,13224
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,ELECTRONICS AND INSTRUMENTATION ENGINEERING,18957,--,32175
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,14429,42368,23008
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,INFORMATION SCIENCE AND ENGINEERING ,7581,13793,9001
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,MECHANICAL ENGINEERING,35862,71020,57208
E008,Bangalore Institute of Technology,K.R.Road,Bangalore,Private ,ROBOTICS AND ARTIFICIAL INTELLIGENCE,9015,--,12284
E009,PES University,Near DSERT,Bangalore,Private ,B TECH IN BIO TECHNOLOGY,6210,25790,21465
E009,PES University,Near DSERT,Bangalore,Private ,B TECH IN COMPUTER SCIENCE & ENGINEERING (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),1494,6153,3265
E009,PES University,Near DSERT,Bangalore,Private ,B TECH IN COMPUTER SCIENCE AND ENGINEERING,934,5196,2126
E009,PES University,Near DSERT,Bangalore,Private ,B TECH IN ELECTRICAL & ELECTRONICS ENGINEERING,3645,--,9464
E009,PES University,Near DSERT,Bangalore,Private ,B TECH IN ELECTRONICS & COMMUNICATION ENGINEERING,2380,9731,6229
E009,PES University,Near DSERT,Bangalore,Private ,B TECH IN MECHANICAL ENGINEERING,5948,--,12437
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,AERO SPACE ENGINEERING,30281,32528,33842
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,AERONAUTICAL ENGINEERING,44767,48995,47398
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,19218,20484,22443
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,CHEMICAL ENGINEERING,31412,--,65714
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,CIVIL ENGINEERING,91240,--,106606
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,COMPUTER SCIENCE AND DESIGN,24794,31730,26414
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,COMPUTER SCIENCE AND ENGINEERING,20402,25768,23243
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),21907,--,24148
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,ELECTRICAL & ELECTRONICS ENGINEERING,36897,--,50074
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,ELECTRONICS ENGINEERING(VLSI DESIGN & TECHNOLOGY),34549,57164,37827
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,ELECTRONICS AND COMMUNICATION (ADVANCED COMMUNICATION TECHNOLOGY),29733,--,32328
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,ELECTRONICS AND COMMUNICATION ENGG,27812,31508,31304
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,INDUSTRIAL IOT,61981,--,86984
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,INFORMATION SCIENCE AND ENGINEERING,24957,31594,25929
E011,M V J College of Engineering,NEAR ITPB,Bangalore,Government ,MECHANICAL ENGINEERING,56031,--,69795
E012,Sir M.Visvesvaraya Institute of Technology,KRISHNADEVARAYANAGAR,Bangalore,Government ,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,10390,--,11648
E012,Sir M.Visvesvaraya Institute of Technology,KRISHNADEVARAYANAGAR,Bangalore,Government ,BIO-TECHNOLOGY,20901,60665,44002
E012,Sir M.Visvesvaraya Institute of Technology,KRISHNADEVARAYANAGAR,Bangalore,Government ,CIVIL ENGINEERING,72267,82612,77331
E012,Sir M.Visvesvaraya Institute of Technology,KRISHNADEVARAYANAGAR,Bangalore,Government ,COMPUTER SCIENCE AND ENGG(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),15676,--,17222
E012,Sir M.Visvesvaraya Institute of Technology,KRISHNADEVARAYANAGAR,Bangalore,Government ,COMPUTER SCIENCE AND ENGINEERING,11715,18354,14200
E012,Sir M.Visvesvaraya Institute of Technology,KRISHNADEVARAYANAGAR,Bangalore,Government ,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),13525,--,13539
E012,Sir M.Visvesvaraya Institute of Technology,KRISHNADEVARAYANAGAR,Bangalore,Government ,ELECTRICAL & ELECTRONICS ENGINEERING,32151,43081,40540
